FPR	TPR	Tissue	Treshold
0.000000	0.500000	Heart_-_Atrial_Appendage	0.011061
0.006818	0.852273	Heart_-_Atrial_Appendage	0.008181
0.972727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.511364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.202273	0.977273	Heart_-_Atrial_Appendage	0.000001
0.863636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.390909	0.988636	Heart_-_Atrial_Appendage	0.000000
0.750000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.081818	0.977273	Heart_-_Atrial_Appendage	0.000581
0.729545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.479545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.115909	0.977273	Heart_-_Atrial_Appendage	0.000198
0.000000	0.068182	Heart_-_Atrial_Appendage	0.011335
0.034091	0.943182	Heart_-_Atrial_Appendage	0.003139
0.613636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.477273	Heart_-_Atrial_Appendage	0.011081
0.347727	0.988636	Heart_-_Atrial_Appendage	0.000000
0.370455	0.988636	Heart_-_Atrial_Appendage	0.000000
0.684091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.113636	0.977273	Heart_-_Atrial_Appendage	0.000203
0.943182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.638636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.525000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.647727	Heart_-_Atrial_Appendage	0.010667
0.700000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.954545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.495455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.925000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.727273	Heart_-_Atrial_Appendage	0.010137
0.336364	0.988636	Heart_-_Atrial_Appendage	0.000000
0.152273	0.977273	Heart_-_Atrial_Appendage	0.000035
0.259091	0.988636	Heart_-_Atrial_Appendage	0.000000
0.450000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.443182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.856818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.840909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.125000	Heart_-_Atrial_Appendage	0.011312
0.481818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.113636	Heart_-_Atrial_Appendage	0.011315
0.940909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.252273	0.988636	Heart_-_Atrial_Appendage	0.000000
0.277273	0.988636	Heart_-_Atrial_Appendage	0.000000
0.575000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.959091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.747727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.170455	Heart_-_Atrial_Appendage	0.011296
0.904545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.190909	0.977273	Heart_-_Atrial_Appendage	0.000003
0.384091	0.988636	Heart_-_Atrial_Appendage	0.000000
0.356818	0.988636	Heart_-_Atrial_Appendage	0.000000
0.400000	0.988636	Heart_-_Atrial_Appendage	0.000000
0.493182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.368182	0.988636	Heart_-_Atrial_Appendage	0.000000
0.977273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.100000	0.977273	Heart_-_Atrial_Appendage	0.000346
0.447727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.295455	Heart_-_Atrial_Appendage	0.011197
0.711364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.150000	0.977273	Heart_-_Atrial_Appendage	0.000043
0.111364	0.977273	Heart_-_Atrial_Appendage	0.000228
0.072727	0.977273	Heart_-_Atrial_Appendage	0.000868
0.997727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.213636	0.977273	Heart_-_Atrial_Appendage	0.000000
0.002273	0.772727	Heart_-_Atrial_Appendage	0.009982
0.506818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.697727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.434091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.859091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.688636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.170455	0.977273	Heart_-_Atrial_Appendage	0.000016
0.531818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.318182	0.988636	Heart_-_Atrial_Appendage	0.000000
0.279545	0.988636	Heart_-_Atrial_Appendage	0.000000
